Employee_ID,First_Name,Last_Name,Department,City,Salary,Experience_Years,Email,Phone
1001,Sandesh,Patil,Data Analyst, Bangalore ,30000.0,1.0, test@mail.com ,9876543210
1002,Pooja,Patil,Data Analyst,Belgaum,0.0,2.0,user@example.com,9876543210
1003,Rahul, Sharma,Business Analyst,Belgaum,0.0,5.0,user@example.com,0
1004,Akshay,Kumar,Data Analyst,Pune,30000.0,4.0, test@mail.com ,9123456780
1005,Akshay,Kumar,Data Analyst,Belgaum,40000.0,4.0,employee@company.com,9876543210
1006,Akshay,Kumar,Data Analyst,Pune,35000.0,4.0, test@mail.com ,0
1007,Sanjay,Patil,Data Analyst, Bangalore ,25000.0,5.0, test@mail.com ,0
1008,Akshay,Kumar,Data Analyst,Belgaum,35000.0,4.0,user@example.com,9123456780
1009,Rahul, Sharma,Business Analyst,Mumbai,0.0,,employee@company.com,9876543210
1010,Akshay,Kumar,Data Analyst, Hyderabad ,0.0,1.0,user@example.com,9123456780
1011,Pooja,Patil,Data Analyst,Belgaum,0.0,4.0,employee@company.com,0
1012,Rahul, Sharma,Data Analyst,Pune,30000.0,,employee@company.com,9876543210
1013,Sandesh,Patil,Data Analyst, Hyderabad ,30000.0,5.0,user@example.com,9123456780
1014,Pooja,Patil,Data Analyst,Mumbai,25000.0,2.0,employee@company.com,9876543210
1015,Sanjay,Patil,Data Analyst, Bangalore ,35000.0,1.0,employee@company.com,0
1016,Rahul, Sharma,Business Analyst,Mumbai,0.0,2.0,user@example.com,9123456780
1017,Sanjay,Patil,Data Analyst,Belgaum,0.0,5.0, test@mail.com ,0
1018,Sandesh,Patil,Data Analyst,Mumbai,40000.0,5.0,employee@company.com,9123456780
1019,Sandesh,Patil,Business Analyst,Belgaum,40000.0,5.0,user@example.com,9123456780
1020,Akshay,Kumar,Data Analyst,Mumbai,25000.0,2.0,user@example.com,0
1021,Sanjay,Patil,Data Analyst,Mumbai,0.0,, test@mail.com ,9123456780
1022,Rahul, Sharma,Data Analyst,Belgaum,40000.0,5.0, test@mail.com ,0
1023,Pooja,Patil,Data Analyst,Mumbai,0.0,1.0,user@example.com,0
1024,Pooja,Patil,Business Analyst,Mumbai,25000.0,3.0,employee@company.com,0
1025,Sanjay,Patil,Data Analyst, Hyderabad ,30000.0,5.0, test@mail.com ,0
1026,Rahul, Sharma,Data Analyst, Hyderabad ,30000.0,2.0,employee@company.com,9876543210
1027,Rahul, Sharma,Data Analyst,Pune,30000.0,4.0, test@mail.com ,9876543210
1028,Akshay,Kumar,Data Analyst,Mumbai,0.0,5.0, test@mail.com ,9123456780
1029,Sanjay,Patil,Business Analyst,Mumbai,35000.0,5.0,user@example.com,0
1030,Sanjay,Patil,Data Analyst,Belgaum,30000.0,2.0,employee@company.com,9876543210
